model,params,MAE_1,MAE_2,MAE_3,WMAE
xgb,xgb_001_le_0.1_cb_1.0_md_23_mcw_2,0.091893,19.015121,0.006315,47.846053
xgb,xgb_001_le_0.1_cb_1.0_md_23_mcw_3,0.091681,18.789185,0.006199,47.533232
xgb,xgb_001_le_0.1_cb_1.0_md_23_mcw_4,0.091389,18.780819,0.006302,47.457759
xgb,xgb_001_le_0.1_cb_1.0_md_24_mcw_2,0.092429,19.069465,0.006297,48.057622
xgb,xgb_001_le_0.1_cb_1.0_md_24_mcw_3,0.091702,18.853385,0.006234,47.610617
xgb,xgb_001_le_0.1_cb_1.0_md_24_mcw_4,0.090548,19.116807,0.006295,47.540128
xgb,xgb_001_le_0.1_cb_1.0_md_25_mcw_2,0.092588,18.984650,0.006289,48.018984
xgb,xgb_001_le_0.1_cb_1.0_md_25_mcw_3,0.091907,18.775660,0.006260,47.599808
xgb,xgb_001_le_0.1_cb_1.0_md_25_mcw_4,0.091294,18.940534,0.006248,47.578363
xgb,xgb_001_le_0.1_cb_1.0_md_26_mcw_2,0.092719,19.046313,0.006313,48.124581
xgb,xgb_001_le_0.1_cb_1.0_md_26_mcw_3,0.091703,18.937536,0.006200,47.688383
xgb,xgb_001_le_0.1_cb_1.0_md_26_mcw_4,0.090650,19.163376,0.006241,47.606585
xgb,xgb_001_le_0.1_cb_1.0_md_27_mcw_2,0.092273,18.820291,0.006321,47.766413
xgb,xgb_001_le_0.1_cb_1.0_md_27_mcw_3,0.091955,18.740112,0.006230,47.572767
xgb,xgb_001_le_0.1_cb_1.0_md_27_mcw_4,0.090986,18.919501,0.006285,47.472349
xgb,xgb_001_le_0.1_cb_1.0_md_28_mcw_2,0.091864,18.906355,0.006301,47.725806
xgb,xgb_001_le_0.1_cb_1.0_md_28_mcw_3,0.091711,18.819534,0.006260,47.584741
xgb,xgb_001_le_0.1_cb_1.0_md_28_mcw_4,0.091242,18.851743,0.006263,47.476910
