model,params,WMAE,WMAE_1,WMAE_2,WMAE_3,NAE,NAE_1,NAE_2,NAE_3
NN,"hidden_[200, 500, 500, 200]_drop_0.1_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_32_loss_nae",159.906141,0.254712,58.610240,0.124411,4.719266,3.929593,0.613228,0.176445
NN,"hidden_[200, 500, 500, 500, 200]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_64_loss_mae",49.070421,0.092807,19.430923,0.008986,0.463241,0.299633,0.151204,0.012403
NN,"hidden_[200, 500, 500, 200]_drop_0.1_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_64_loss_nae",159.916212,0.254711,58.620396,0.124413,4.731467,3.942231,0.613016,0.176220
NN,"hidden_[200, 500, 500, 500, 200]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_128_loss_mae",52.313147,0.098448,20.702677,0.010380,0.484462,0.317933,0.151382,0.015147
NN,"hidden_[200, 500, 200]_drop_0.0_sep_True_traY_['logit', 'log', 'logit_2y-1']_bs_64_loss_nae",171.646010,0.385906,52.528340,0.016729,7.401848,6.921490,0.457786,0.022573
NN,"hidden_[200, 500, 200]_drop_0.1_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_32_loss_nae",159.925597,0.254711,58.629809,0.124412,4.727310,3.937908,0.612821,0.176582
NN,"hidden_[200, 500, 500, 200]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_32_loss_mae",48.627386,0.093528,19.020824,0.007741,0.702108,0.548512,0.142835,0.010761
NN,"hidden_[200, 500, 200]_drop_0.1_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_64_loss_nae",159.882487,0.254711,58.586737,0.124412,4.728851,3.938821,0.613727,0.176302
NN,"hidden_[500, 500]_drop_0.1_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_32_loss_nae",3108363753999.630371,0.493035,3108363753819.096191,0.163117,47179990036.350182,0.999807,47179990035.106216,0.244158
NN,"hidden_[500, 500]_drop_0.1_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_64_loss_nae",258.337636,0.504913,83.732972,0.115653,8.034410,7.280077,0.587191,0.167142
NN,"hidden_[200, 500, 500, 200]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_64_loss_mae",51.342308,0.100410,19.216088,0.010016,0.451116,0.290666,0.146450,0.014000
NN,"hidden_[200, 500, 500, 200]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_128_loss_mae",49.238601,0.093166,19.356767,0.009659,0.554293,0.394924,0.146082,0.013287
NN,"hidden_[200, 200]_drop_0.1_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_32_loss_nae",220.974338,0.506659,55.512079,0.067323,7.651192,6.986581,0.574135,0.090477
NN,"hidden_[200, 500, 200]_drop_0.0_sep_True_traY_['logit', 'log', 'logit_2y-1']_bs_32_loss_nae",208.243553,0.454019,57.403246,0.073173,1.863409,1.162211,0.580713,0.120485
NN,"hidden_[200, 200]_drop_0.1_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_64_loss_nae",155.955036,0.252780,56.288369,0.119164,4.633384,3.907907,0.558434,0.167043
NN,"hidden_[200, 500, 500, 500, 200]_drop_0.0_sep_True_traY_['logit', 'log', 'logit_2y-1']_bs_32_loss_mae",50.142991,0.096356,19.615186,0.008106,0.693518,0.539711,0.142244,0.011563
NN,"hidden_[500, 500]_drop_0.0_sep_True_traY_['logit', 'log', 'logit_2y-1']_bs_64_loss_nae",189.322418,0.440662,53.772865,0.016754,2.105126,1.629952,0.452676,0.022499
NN,"hidden_[200, 500, 200]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_32_loss_mae",48.994935,0.093165,19.517924,0.007638,0.717218,0.563057,0.143595,0.010566
NN,"hidden_[200, 500, 200]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_64_loss_mae",50.264532,0.097876,19.318896,0.007915,0.473770,0.310770,0.151960,0.011041
NN,"hidden_[200, 500, 200]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_128_loss_mae",49.972932,0.095525,19.726298,0.007945,0.460673,0.307040,0.142438,0.011196
NN,"hidden_[500, 500]_drop_0.0_sep_True_traY_['logit', 'log', 'logit_2y-1']_bs_32_loss_nae",285.670012,0.493132,134.977214,0.013766,2.679611,0.999997,1.659860,0.019754
NN,"hidden_[200, 500, 500, 500, 200]_drop_0.0_sep_True_traY_['logit', 'log', 'logit_2y-1']_bs_64_loss_mae",49.619489,0.093702,20.066938,0.007210,0.552818,0.385401,0.157302,0.010114
NN,"hidden_[500, 500]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_32_loss_mae",48.990227,0.093478,19.272765,0.008371,0.583439,0.418849,0.152861,0.011728
NN,"hidden_[500, 500]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_64_loss_mae",49.627286,0.095689,19.340827,0.007899,0.654728,0.494260,0.149502,0.010966
NN,"hidden_[500, 500]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_128_loss_mae",48.611640,0.092475,19.243079,0.008131,0.595544,0.433157,0.151146,0.011241
NN,"hidden_[200, 500, 500, 500, 200]_drop_0.0_sep_True_traY_['logit', 'log', 'logit_2y-1']_bs_128_loss_mae",51.277363,0.098715,20.066130,0.007984,0.489288,0.332257,0.146062,0.010969
NN,"hidden_[200, 200]_drop_0.0_sep_True_traY_['logit', 'log', 'logit_2y-1']_bs_64_loss_nae",177.589586,0.404765,53.818538,0.011707,7.430112,6.925930,0.488373,0.015809
NN,"hidden_[200, 200]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_32_loss_mae",49.340219,0.093475,19.651907,0.008229,0.529617,0.362802,0.155454,0.011361
NN,"hidden_[200, 200]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_64_loss_mae",48.333860,0.092894,18.967351,0.007492,0.674238,0.517946,0.145917,0.010375
NN,"hidden_[200, 200]_drop_0.0_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_128_loss_mae",49.806704,0.096497,19.286536,0.007855,0.856639,0.700718,0.144974,0.010948
NN,"hidden_[200, 200]_drop_0.0_sep_True_traY_['logit', 'log', 'logit_2y-1']_bs_32_loss_nae",179.019121,0.429932,48.061117,0.009892,4.828909,4.461140,0.353952,0.013818
NN,"hidden_[200, 500, 500, 500, 200]_drop_0.1_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_32_loss_mae",54.104026,0.098058,22.008308,0.013392,0.637694,0.422457,0.197012,0.018225
NN,"hidden_[200, 500, 500, 200]_drop_0.0_sep_True_traY_['logit', 'log', 'logit_2y-1']_bs_32_loss_mae",52.765130,0.105761,19.590797,0.007230,0.628193,0.466756,0.151212,0.010226
NN,"hidden_[200, 500, 500, 500, 200]_drop_0.1_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_64_loss_mae",54.554302,0.103753,21.150842,0.011387,0.616261,0.448877,0.151522,0.015862
NN,"hidden_[200, 500, 500, 500, 200]_drop_0.1_sep_True_traY_['logit', 'log', 'logit_2y-1']_bs_64_loss_nae",134.302902,0.240361,58.622948,0.017859,4.435322,3.796861,0.612963,0.025499
NN,"hidden_[200, 500, 500, 500, 200]_drop_0.1_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_128_loss_mae",50.154627,0.094103,19.803689,0.010600,0.589653,0.412397,0.162710,0.014546
NN,"hidden_[200, 500, 500, 200]_drop_0.0_sep_True_traY_['logit', 'log', 'logit_2y-1']_bs_64_loss_mae",49.959028,0.095095,19.514975,0.009578,0.658775,0.493127,0.152162,0.013486
NN,"hidden_[200, 500, 500, 200]_drop_0.1_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_32_loss_mae",50.078712,0.094858,19.752911,0.009342,0.620305,0.449879,0.157460,0.012966
NN,"hidden_[200, 500, 500, 200]_drop_0.0_sep_True_traY_['logit', 'log', 'logit_2y-1']_bs_128_loss_mae",53.189372,0.098295,22.212539,0.007442,0.627900,0.432341,0.185150,0.010410
NN,"hidden_[200, 500, 500, 200]_drop_0.1_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_64_loss_mae",51.766942,0.099382,19.843471,0.010544,0.876633,0.712192,0.149514,0.014927
NN,"hidden_[200, 500, 500, 500, 200]_drop_0.1_sep_True_traY_['logit', 'log', 'logit_2y-1']_bs_32_loss_nae",149.765954,0.254736,58.650527,0.073473,4.570455,3.871023,0.612399,0.087033
NN,"hidden_[200, 500, 500, 200]_drop_0.1_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_128_loss_mae",48.131684,0.090957,19.148999,0.008477,0.595613,0.436122,0.147673,0.011818
NN,"hidden_[200, 500, 200]_drop_0.1_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_32_loss_mae",54.332399,0.099156,21.384778,0.016005,0.942228,0.764331,0.156398,0.021499
NN,"hidden_[200, 500, 500, 200]_drop_0.1_sep_True_traY_['logit', 'log', 'logit_2y-1']_bs_64_loss_nae",140.191760,0.254716,58.576085,0.026004,4.616541,3.966453,0.613954,0.036134
NN,"hidden_[200, 500, 200]_drop_0.1_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_64_loss_mae",49.869617,0.092526,20.074616,0.010186,0.514663,0.357560,0.143350,0.013754
NN,"hidden_[200, 500, 200]_drop_0.1_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_128_loss_mae",48.867649,0.091697,19.718797,0.008199,0.599577,0.440324,0.147869,0.011384
NN,"hidden_[500, 500]_drop_0.1_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_32_loss_mae",52.763867,0.099668,20.831531,0.010159,0.627189,0.443210,0.169532,0.014447
NN,"hidden_[200, 500, 500, 200]_drop_0.1_sep_True_traY_['logit', 'log', 'logit_2y-1']_bs_32_loss_nae",148.888234,0.254711,58.628698,0.069231,4.639347,3.946906,0.612844,0.079598
NN,"hidden_[200, 500, 200]_drop_0.0_sep_True_traY_['logit', 'log', 'logit_2y-1']_bs_32_loss_mae",49.243650,0.093164,19.707608,0.007934,0.552962,0.391162,0.150741,0.011058
NN,"hidden_[500, 500]_drop_0.1_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_64_loss_mae",50.379481,0.094813,19.760212,0.010877,0.558703,0.396205,0.147987,0.014511
NN,"hidden_[500, 500]_drop_0.1_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_128_loss_mae",49.750779,0.093890,19.804939,0.008894,0.561108,0.402628,0.146290,0.012191
NN,"hidden_[200, 200]_drop_0.1_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_32_loss_mae",48.708024,0.092951,19.178678,0.008221,0.657243,0.498911,0.147006,0.011326
NN,"hidden_[200, 500, 200]_drop_0.0_sep_True_traY_['logit', 'log', 'logit_2y-1']_bs_64_loss_mae",51.477304,0.096155,21.103888,0.007635,0.588747,0.401197,0.176885,0.010666
NN,"hidden_[200, 500, 200]_drop_0.1_sep_True_traY_['logit', 'log', 'logit_2y-1']_bs_64_loss_nae",137.255658,0.254603,58.660670,0.011071,4.595401,3.968124,0.612194,0.015084
NN,"hidden_[200, 200]_drop_0.1_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_64_loss_mae",51.016139,0.094306,21.045444,0.008395,0.527196,0.362072,0.153292,0.011832
NN,"hidden_[200, 200]_drop_0.1_sep_False_traY_['logit', 'log', 'logit_2y-1']_bs_128_loss_mae",51.659620,0.099343,19.840557,0.010081,0.488564,0.330603,0.144332,0.013629
NN,"hidden_[200, 500, 200]_drop_0.0_sep_True_traY_['logit', 'log', 'logit_2y-1']_bs_128_loss_mae",51.805647,0.099517,19.982990,0.009838,0.712199,0.553436,0.145136,0.013626
NN,"hidden_[200, 500, 200]_drop_0.1_sep_True_traY_['logit', 'log', 'logit_2y-1']_bs_32_loss_nae",145.358674,0.254711,58.625712,0.051598,4.612155,3.938183,0.612905,0.061067
NN,"hidden_[500, 500]_drop_0.0_sep_True_traY_['logit', 'log', 'logit_2y-1']_bs_32_loss_mae",49.693887,0.096495,19.285267,0.007301,0.628011,0.470345,0.147464,0.010201
NN,"hidden_[500, 500]_drop_0.1_sep_True_traY_['logit', 'log', 'logit_2y-1']_bs_64_loss_nae",180.298877,0.408155,54.776500,0.015380,2.286065,1.750109,0.513777,0.022178
NN,"hidden_[500, 500]_drop_0.0_sep_True_traY_['logit', 'log', 'logit_2y-1']_bs_64_loss_mae",51.765334,0.102377,19.426992,0.008126,0.474196,0.310557,0.152143,0.011496
NN,"hidden_[500, 500]_drop_0.0_sep_True_traY_['logit', 'log', 'logit_2y-1']_bs_128_loss_mae",48.792283,0.092376,19.423426,0.008280,0.584704,0.423085,0.149725,0.011894
