model,params,WMAE,WMAE_1,WMAE_2,WMAE_3,NAE,NAE_1,NAE_2,NAE_3
LGBMRegressor,ne_100_nl_800_lr_0.1_ld_0.01_mcw_0.001_subs_1.0_cstree_0.8_sw_uniform,45.802406,0.088129,18.088946,0.006374,0.439204,0.296158,0.134145,0.008901
LGBMRegressor,ne_150_nl_100_lr_0.1_ld_0_mcw_0.001_subs_0.8_cstree_0.8_sw_uniform,48.532121,0.093093,19.209783,0.006972,0.464007,0.311400,0.142894,0.009714
LGBMRegressor,ne_150_nl_100_lr_0.1_ld_0_mcw_0.001_subs_1.0_cstree_0.8_sw_uniform,48.532121,0.093093,19.209783,0.006972,0.464007,0.311400,0.142894,0.009714
LGBMRegressor,ne_150_nl_100_lr_0.1_ld_0.01_mcw_0.001_subs_0.8_cstree_0.8_sw_uniform,48.680713,0.093562,19.220435,0.006958,0.473884,0.320855,0.143312,0.009716
LGBMRegressor,ne_150_nl_100_lr_0.1_ld_0.01_mcw_0.001_subs_1.0_cstree_0.8_sw_uniform,48.680713,0.093562,19.220435,0.006958,0.473884,0.320855,0.143312,0.009716
LGBMRegressor,ne_150_nl_400_lr_0.1_ld_0_mcw_0.001_subs_0.8_cstree_0.8_sw_uniform,45.949819,0.088134,18.196629,0.006565,0.435762,0.291369,0.135216,0.009177
LGBMRegressor,ne_150_nl_400_lr_0.1_ld_0_mcw_0.001_subs_1.0_cstree_0.8_sw_uniform,45.949819,0.088134,18.196629,0.006565,0.435762,0.291369,0.135216,0.009177
LGBMRegressor,ne_150_nl_400_lr_0.1_ld_0.01_mcw_0.001_subs_0.8_cstree_0.8_sw_uniform,45.624247,0.087481,18.080167,0.006499,0.438128,0.295121,0.133919,0.009088
LGBMRegressor,ne_150_nl_400_lr_0.1_ld_0.01_mcw_0.001_subs_1.0_cstree_0.8_sw_uniform,45.624247,0.087481,18.080167,0.006499,0.438128,0.295121,0.133919,0.009088
LGBMRegressor,ne_150_nl_800_lr_0.1_ld_0_mcw_0.001_subs_0.8_cstree_0.8_sw_uniform,44.759577,0.085547,17.839520,0.006281,0.433297,0.291644,0.132878,0.008775
LGBMRegressor,ne_150_nl_800_lr_0.1_ld_0_mcw_0.001_subs_1.0_cstree_0.8_sw_uniform,44.759577,0.085547,17.839520,0.006281,0.433297,0.291644,0.132878,0.008775
LGBMRegressor,ne_150_nl_800_lr_0.1_ld_0.01_mcw_0.001_subs_0.8_cstree_0.8_sw_uniform,45.077807,0.086707,17.812438,0.006266,0.431596,0.290867,0.131970,0.008759
